4.9459891129991	'SR2117'	'SR2117'
4.9571577019997	'SR2118'	'SR2118'
4.9689813789992	'SR2119'	'SR2119'
4.9811026359985	'SR2120'	'SR2120'
4.9919290189991	'SR2121'	'SR2121'
5.0036954919997	'SR2122'	'SR2122'
5.0163403539991	'SR2123'	'SR2123'
5.0266462359996	'SR2124'	'SR2124'
5.0389345249987	'SR2125'	'SR2125'
5.0504553139999	'SR2126'	'SR2126'
5.0615596479984	'SR2127'	'SR2127'
5.0728151509993	'SR290'	'SR290'
5.2238366940001	'SR2125'	'SR2125'
5.3293358139999	'SR2126'	'SR2126'
5.4565950279994	'SR2127'	'SR2127'
5.5154176809992	'SR290'	'SR290'
5.6659967929991	'SR291'	'SR291'
5.6783283139994	'SR292'	'SR292'
5.6784024609988	'SR293'	'SR293'
5.688778709	'SR294'	'SR294'
5.700388023999	'SR295'	'SR295'
5.7129146349998	'SR296'	'SR296'
5.7129904739995	'SR297'	'SR297'
5.7235240239988	'SR298'	'SR298'
5.7353022129992	'SR299'	'SR299'
5.7353861399988	'SR2100'	'SR2100'
5.7473589299989	'SR2101'	'SR2101'
5.759019785999	'SR2102'	'SR2102'
5.7700111629983	'SR2103'	'SR2103'
5.7700882329991	'SR2104'	'SR2104'
5.7819981779994	'SR2105'	'SR2105'
5.7928229720001	'SR2106'	'SR2106'
5.8047784609989	'SR2107'	'SR2107'
5.8048425959987	'SR2108'	'SR2108'
5.816548028999	'SR2109'	'SR2109'
5.8277304129988	'SR2110'	'SR2110'
5.8395419159988	'SR2111'	'SR2111'
5.8396193249991	'SR2112'	'SR2112'
5.8510589109992	'SR2113'	'SR2113'
5.863170184999	'SR2114'	'SR2114'
5.8632456809992	'SR2115'	'SR2115'
5.874187509	'SR2116'	'SR2116'
5.8861779769995	'SR2117'	'SR2117'
5.8975222239987	'SR2118'	'SR2118'
5.897601188999	'SR2119'	'SR2119'
5.9093859539989	'SR2120'	'SR2120'
5.9215274809994	'SR2121'	'SR2121'
5.9326969699996	'SR2122'	'SR2122'
5.9327708799992	'SR2123'	'SR2123'
5.9448289199991	'SR2124'	'SR2124'
5.9568567729984	'SR2125'	'SR2125'
5.9569382199988	'SR2126'	'SR2126'
5.9672440909999	'SR2127'	'SR2127'
5.9788134699993	'SR290'	'SR290'
6.1306665109987	'SR291'	'SR291'
6.1307520829996	'SR292'	'SR292'
6.1419365309994	'SR293'	'SR293'
6.1525833129999	'SR294'	'SR294'
6.1646983329993	'SR295'	'SR295'
6.1647848509983	'SR296'	'SR296'
6.1767739279985	'SR297'	'SR297'
6.1892931639995	'SR298'	'SR298'
6.1894003279995	'SR299'	'SR299'
6.1993479489993	'SR2100'	'SR2100'
6.2133852889983	'SR2101'	'SR2101'
6.2134843499989	'SR2102'	'SR2102'
6.2249052119987	'SR2103'	'SR2103'
6.2344527069999	'SR2104'	'SR2104'
6.2345358229995	'SR2105'	'SR2105'
6.2461154209996	'SR2106'	'SR2106'
6.2580125519999	'SR2107'	'SR2107'
6.26922801	'SR2108'	'SR2108'
6.2693050199996	'SR2109'	'SR2109'
6.2810108269987	'SR2110'	'SR2110'
6.2933797079986	'SR2111'	'SR2111'
6.2934564169991	'SR2112'	'SR2112'
6.3045019759993	'SR2113'	'SR2113'
6.3156631839993	'SR2114'	'SR2114'
6.3157428609993	'SR2115'	'SR2115'
6.3281533739992	'SR2116'	'SR2116'
6.3282391049997	'SR187'	'SR187'
6.3397290429984	'SR2117'	'SR2117'
6.3398092139996	'SR2118'	'SR2118'
6.3500370279999	'SR2119'	'SR2119'
6.3623890909985	'SR2120'	'SR2120'
6.3624725569989	'SR2121'	'SR2121'
6.3733667529996	'SR2122'	'SR2122'
6.3848860099988	'SR2123'	'SR2123'
6.3968689729991	'SR2124'	'SR2124'
6.3969497729995	'SR2125'	'SR2125'
